samplename	original_varname	acc_varname	groupid	count	percentage
Shaw_c1	Betula	Betula	TRSH	227	35.748031
Shaw_c1	Calluna vulgaris	Calluna vulgaris	TRSH	38	5.984252
Shaw_c1	Empetrum nigrum	Empetrum nigrum	DWAR	1	0.15748031
Shaw_c1	Erica tetralix	Erica tetralix-type	DWAR	1	0.15748031
Shaw_c1	Ericaceae undifferentiated	Ericales (tetrad)	DWAR	2	0.31496063
Shaw_c1	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	1	0.15748031
Shaw_c1	Pinus sylvestris	Pinus sylvestris-type	TRSH	341	53.700787
Shaw_c1	Sorbus aria	Sorbus-type	TRSH	1	0.15748031
Shaw_c1	Cyperaceae	Cyperaceae	HERB	5	0.78740157
Shaw_c1	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.15748031
Shaw_c1	Poaceae	Poaceae	HERB	16	2.519685
Shaw_c1	Urtica	Urtica	HERB	1	0.15748031
Shaw_c1	Charcoal 10-20 _m	Charcoal 10-20 _m	CHAR	2	
Shaw_c1	Indeterminable: unknown	Indeterminable: unknown	INUN	8	
Shaw_c1	Pteropsida	Pteropsida	INUN	1	
Shaw_c1	Lycopodium (counted)	Lycopodium (counted)	NOPO	423	
Shaw_c1	Pinus: stomata	Pinus: stomata	VEMI	12	
Shaw_c1	Sample volume (ml)	Sample volume (ml)	NOPO	2	
Shaw_c1	Sphagnum	Sphagnum	NOPO	13	
Shaw_c1	Spike (grains/tablet)	Spike (grains/tablet)	NOPO	12540	
Shaw_c1	Spike tablets (number)	Spike tablets (number)	NOPO	2	
