samplename	original_varname	acc_varname	groupid	count	percentage
Shaw_c1	Betula	Betula	TRSH	227	35.3
Shaw_c1	Calluna vulgaris	Calluna vulgaris	DWAR	38	5.91
Shaw_c1	Empetrum nigrum	Empetrum nigrum	DWAR	1	0.16
Shaw_c1	Erica tetralix	Erica tetralix-type	DWAR	1	0.16
Shaw_c1	Ericaceae undiff.	Ericales (tetrad)	DWAR	2	0.31
Shaw_c1	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	1	0.16
Shaw_c1	Pinus sylvestris	Pinus sylvestris-type	TRSH	341	53.03
Shaw_c1	Sorbus aria	Sorbus-type	TRSH	1	0.16
Shaw_c1	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.16
Shaw_c1	Poaceae	Poaceae	HERB	16	2.49
Shaw_c1	Urtica	Urtica	HERB	1	0.16
Shaw_c1	Sphagnum	Sphagnum	BRYO	13	2.02
Shaw_c1	Cyperaceae	Cyperaceae	AQUA	5	0.78
Shaw_c1	Charcoal 10-20 _m	Charcoal 10-20µm	CHAR	2	
Shaw_c1	Indeterminable: unknown	Indeterminable: unknown	INUN	8	
Shaw_c1	Pteropsida	Monolete fern spores	INUN	1	
Shaw_c1	Lycopodium (counted)	Lycopodium (counted)	NOPO	423	
Shaw_c1	Pinus: stomata	Pinus: stomata	MACR	12	
Shaw_c1	Sample volume (ml)	Sample volume (ml)	NOPO	2	
Shaw_c1	Spike (grains/tablet)	Spike (grains/tablet)	NOPO	12540	
Shaw_c1	Spike tablets (number)	Spike tablets (number)	NOPO	2	
