samplename	original_varname	acc_varname	groupid	count	percentage	notes
AlbaSanchez_a95	Abies marocana	Abies marocana	TRSH	135	41.795666	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Cedrus atlantica	Cedrus	TRSH	48	14.860681	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
AlbaSanchez_a95	Erica scoparia t.	Erica arborea-type	TRSH	1	0.30959752	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Genisteae	Genista-group	TRSH	2	0.61919505	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Olea	Olea europaea	TRSH	33	10.216718	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Phillyrea	Phillyrea	TRSH	1	0.30959752	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Pinus sylvestris/nigra/uncinata t.	Pinus sylvestris-type	TRSH	56	17.337461	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Quercus evergreen	Quercus ilex-type	TRSH	39	12.074303	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.30959752	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Centaurea cyanus t.	Centaurea cyanus-type	HERB	1	0.30959752	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.61919505	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a95	Poaceae undiff.	Poaceae	HERB	2	0.61919505	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
AlbaSanchez_a95	Rubiaceae	Rubiaceae	HERB	1	0.30959752	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
AlbaSanchez_a95	Filicales monoles undiff.	Monolete fern spores	VACR	1	0.30959752	GroupID taken from POLNET. Only one taxon matched that acc_varname.
