samplename	original_varname	acc_varname	groupid	count	percentage
Fletcher_b21	Cedrus	Cedrus	TRSH	17.9	17.864271
Fletcher_b21	Cupressaceae	Cupressaceae undiff.	TRSH	2.1	2.0958084
Fletcher_b21	Fraxinus	Fraxinus	TRSH	0.6	0.5988024
Fletcher_b21	Fabaceae genista type	Genista-type	TRSH	0.3	0.2994012
Fletcher_b21	Olea	Olea europaea	TRSH	8.1	8.0838323
Fletcher_b21	Phillyrea	Phillyrea	TRSH	4.5	4.491018
Fletcher_b21	Pinus	Pinus	TRSH	1.5	1.497006
Fletcher_b21	Quercus evergreen	Quercus ilex-type	TRSH	17.3	17.265469
Fletcher_b21	Quercus deciduous	Quercus robur-type	TRSH	17	16.966068
Fletcher_b21	Ribes	Ribes	TRSH	3.6	3.5928144
Fletcher_b21	Zygophyllaceae	Zygophyllaceae	TRSH	0.3	0.2994012
Fletcher_b21	Artemisia	Artemisia	HERB	0.3	0.2994012
Fletcher_b21	Asteraceae aster type	Aster-type	HERB	0.6	0.5988024
Fletcher_b21	Asteraceae undiff.	Asteraceae	HERB	3	2.994012
Fletcher_b21	Fabaceae astragalus type	Astragalus-type	HERB	1.5	1.497006
Fletcher_b21	Brassicaceae undiff.	Brassicaceae	HERB	2.7	2.6946108
Fletcher_b21	Asteraceae carthamus	Carthamus-type	HERB	0.3	0.2994012
Fletcher_b21	Centaurea cyanus type	Centaurea cyanus-type	HERB	0.3	0.2994012
Fletcher_b21	Chenopodiaceae undiff.	Chenopodiaceae/Amaranthaceae	HERB	2.4	2.3952096
Fletcher_b21	Asteraceae cirsium type	Cirsium	HERB	0.3	0.2994012
Fletcher_b21	Crassulaceae	Crassulaceae	HERB	0.3	0.2994012
Fletcher_b21	Fabaceae undiff.	Fabaceae undiff.	HERB	4.5	4.491018
Fletcher_b21	Helianthemum	Helianthemum	HERB	2.1	2.0958084
Fletcher_b21	Caryophyllaceae herniaria type	Herniaria-type	HERB	0.6	0.5988024
Fletcher_b21	Asteraceae lactuceae type	Lactuca-type	HERB	0.6	0.5988024
Fletcher_b21	Fabaceae lotus type	Lotus-type	HERB	0.9	0.89820359
Fletcher_b21	Plantago undiff.	Plantago	HERB	3	2.994012
Fletcher_b21	Poaceae undiff.	Poaceae	HERB	3.6	3.5928144
Fletcher_b21	Concentration	Total concentration	NOPO	29594	
