samplename	original_varname	acc_varname	groupid	count	percentage	notes
Jiménez-Moreno_a9	Betula	Betula	TRSH	1	0.30395137	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Jiménez-Moreno_a9	Olea eur	Olea europaea	TRSH	134	40.729483	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Pinus undiff.	Pinus	TRSH	85	25.835866	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Jiménez-Moreno_a9	Quercus evergreen	Quercus ilex-type	TRSH	24	7.2948328	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Quercus deciduous	Quercus robur-type	TRSH	14	4.2553191	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Artemisia	Artemisia	HERB	16	4.8632219	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Tubuliflorae	Asteraceae subf. Asteroideae	HERB	3	0.9118541	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Liguliflorae	Asteraceae subf. Cichorioideae	HERB	2	0.60790274	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Campanulaceae	Campanulaceae	HERB	2	0.60790274	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.60790274	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.30395137	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Fabaceae	Fabaceae	HERB	2	0.60790274	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Gentianaceae	Gentianaceae	HERB	2	0.60790274	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Herniaria	Herniaria	HERB	2	0.60790274	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Lamiaceae	Lamiaceae	HERB	1	0.30395137	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Plantago	Plantago	HERB	4	1.2158055	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Poaceae	Poaceae	HERB	25	7.5987842	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Ranunculaceae	Ranunculaceae	HERB	2	0.60790274	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Jiménez-Moreno_a9	Rumex	Rumex/Oxyria	HERB	2	0.60790274	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Urticaceae/Moraceae	Urticaceae/Moraceae	HERB	5	1.5197568	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Indeterminable	Indeterminable: unknown	INUN	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Arcella	Arcella	RHIZ	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Jiménez-Moreno_a9	Testate amoebae	Testate amoebae	NOPO	1		GroupID taken from spreadsheet
