samplename	original_varname	acc_varname	groupid	count	percentage
Nakagawa_a4	Abies	Abies	TRSH	5	1.1086475
Nakagawa_a4	Alnus	Alnus	TRSH	6	1.3303769
Nakagawa_a4	Betula	Betula	TRSH	10	2.2172949
Nakagawa_a4	Carpinus	Carpinus betulus	TRSH	16	3.5476718
Nakagawa_a4	Cryptomeria	Cryptomeria-type	TRSH	269	59.645233
Nakagawa_a4	Ericaceae	Ericales (tetrad)	DWAR	1	0.22172949
Nakagawa_a4	Castanopsis-Castanea	Fagaceae	TRSH	28	6.2084257
Nakagawa_a4	Fraxinus	Fraxinus	TRSH	2	0.44345898
Nakagawa_a4	Ilex	Ilex	TRSH	3	0.66518847
Nakagawa_a4	Juglans-Pterocarya	Juglandaceae	TRSH	2	0.44345898
Nakagawa_a4	Pinus-undiff.	Pinus	TRSH	53	11.751663
Nakagawa_a4	Quercus-E	Quercus ilex-type	TRSH	9	1.9955654
Nakagawa_a4	Quercus-D	Quercus robur-type	TRSH	19	4.2128603
Nakagawa_a4	Salix	Salix	TRSH	2	0.44345898
Nakagawa_a4	Sciadopitys	Sciadopitys	TRSH	1	0.22172949
Nakagawa_a4	T-C-C type	Taxaceae/Cephalotaxaceae/Cupressaceae	TRSH	4	0.88691796
Nakagawa_a4	Tsuga	Tsuga	TRSH	3	0.66518847
Nakagawa_a4	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	8	1.7738359
Nakagawa_a4	Artemisia	Artemisia	HERB	1	0.22172949
Nakagawa_a4	Compositae	Asteraceae	HERB	1	0.22172949
Nakagawa_a4	Gramineae	Poaceae	HERB	8	1.7738359
Nakagawa_a4	broken	Indeterminable: broken	INUN	44	
Nakagawa_a4	Unknown	Indeterminable: unknown	INUN	32	
