samplename	original_varname	acc_varname	groupid	count	percentage
Stivrins_a6	Alnus	Alnus	TRSH	34	5.8519793
Stivrins_a6	Betula	Betula	TRSH	116	19.965577
Stivrins_a6	Calluna	Calluna vulgaris	TRSH	2	0.34423408
Stivrins_a6	Carpinus	Carpinus betulus	TRSH	4	0.68846816
Stivrins_a6	Corylus	Corylus	TRSH	12	2.0654045
Stivrins_a6	Ericaceae	Ericales (tetrad)	DWAR	2	0.34423408
Stivrins_a6	Fraxinus	Fraxinus	TRSH	2	0.34423408
Stivrins_a6	Juniperus	Juniperus communis-type	TRSH	2	0.34423408
Stivrins_a6	Picea	Picea	TRSH	27	4.6471601
Stivrins_a6	Pinus	Pinus	TRSH	278	47.848537
Stivrins_a6	Quercus	Quercus	TRSH	16	2.7538726
Stivrins_a6	Rosaceae	Rosaceae	TRSH	2	0.34423408
Stivrins_a6	Tilia	Tilia	TRSH	2	0.34423408
Stivrins_a6	Ulmus	Ulmus/Zelkova	TRSH	1	0.17211704
Stivrins_a6	Apiaceae	Apiaceae	HERB	2	0.34423408
Stivrins_a6	Artemisia	Artemisia	HERB	4	0.68846816
Stivrins_a6	Brassicaceae	Brassicaceae	HERB	2	0.34423408
Stivrins_a6	Centaurea cyanus	Centaurea cyanus-type	HERB	4	0.68846816
Stivrins_a6	Cyperaceae	Cyperaceae	HERB	14	2.4096386
Stivrins_a6	Poaceae	Poaceae	HERB	42	7.2289157
Stivrins_a6	Rumex acetosa	Rumex acetosa-type	HERB	4	0.68846816
Stivrins_a6	Secale cereale	Secale cereale	HERB	2	0.34423408
Stivrins_a6	Triticum/Avena	Triticum-type	HERB	4	0.68846816
Stivrins_a6	Lycopodium annium	Lycopodium	VACR	1	0.17211704
Stivrins_a6	Polypodiaceae	Monolete fern spores	VACR	2	0.34423408
Stivrins_a6	Sphagnum	Sphagnum	NOPO	8	
