samplename	original_varname	acc_varname	groupid	count	percentage
Mercuri_i14	Abies	Abies	TRSH	4	1.24
Mercuri_i14	Alnus	Alnus	TRSH	10	3.1
Mercuri_i14	Cedrus	Cedrus	TRSH	3	0.93
Mercuri_i14	Erica	Erica	TRSH	1	0.31
Mercuri_i14	Eucalyptus	Eucalyptus	TRSH	125	38.7
Mercuri_i14	Forsythia europea type	Forsythia	TRSH	1	0.31
Mercuri_i14	Fraxinus	Fraxinus	TRSH	1	0.31
Mercuri_i14	Juniperus type	Juniperus-type	TRSH	29	8.98
Mercuri_i14	Olea	Olea europaea	TRSH	9	2.79
Mercuri_i14	Pinus	Pinus	TRSH	4	1.24
Mercuri_i14	deciduous Quercus	Quercus robur-type	TRSH	5	1.55
Mercuri_i14	Rosaceae undiff.	Rosaceae	TRSH	1	0.31
Mercuri_i14	Salix	Salix	TRSH	2	0.62
Mercuri_i14	Aphanes	Aphanes	HERB	1	0.31
Mercuri_i14	Apiaceae undiff.	Apiaceae	HERB	1	0.31
Mercuri_i14	Artemisia	Artemisia	HERB	1	0.31
Mercuri_i14	Asparagus	Asparagus	HERB	1	0.31
Mercuri_i14	Aster type	Aster-type	HERB	4	1.24
Mercuri_i14	Cichorieae	Asteraceae subf. Cichorioideae	HERB	31	9.6
Mercuri_i14	Avena/Triticum group	Avena/Triticum-type	HERB	2	0.62
Mercuri_i14	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.62
Mercuri_i14	Centaurea nigra type	Centaurea nigra-type	HERB	6	1.86
Mercuri_i14	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	22	6.81
Mercuri_i14	Cirsium	Cirsium	HERB	1	0.31
Mercuri_i14	Crocus	Crocus	HERB	2	0.62
Mercuri_i14	Cyperaceae undiff.	Cyperaceae	HERB	3	0.93
Mercuri_i14	Fabaceae	Fabaceae	HERB	3	0.93
Mercuri_i14	Hordeum group	Hordeum-type	HERB	7	2.17
Mercuri_i14	Liliaceae undiff.	Liliaceae-type	HERB	1	0.31
Mercuri_i14	Scilla type	Ornithogalum-type	HERB	1	0.31
Mercuri_i14	Papaver rhoeas	Papaver rhoeas-type	HERB	1	0.31
Mercuri_i14	Peucedanum type	Peucedanum-type	HERB	2	0.62
Mercuri_i14	Plantago	Plantago	HERB	2	0.62
Mercuri_i14	Poaceae wild grass group	Poaceae	HERB	25	7.74
Mercuri_i14	Ranunculus type	Ranunculus-type	HERB	1	0.31
Mercuri_i14	Rumex	Rumex/Oxyria	HERB	1	0.31
Mercuri_i14	Sedum	Sedum-type	HERB	1	0.31
Mercuri_i14	Viola	Viola	HERB	1	0.31
Mercuri_i14	Zea mays	Zea mays	HERB	5	1.55
Mercuri_i14	Myriophyllum alterniflorum type	Myriophyllum alterniflorum	AQUA	1	0.31
Mercuri_i14	Myriophyllum spicatum type	Myriophyllum spicatum	AQUA	3	0.93
Mercuri_i14	Scirpus	Scirpus-type	HELO	2	0.62
Mercuri_i14	Not determined	Indeterminable: unknown	INUN	10	
Mercuri_i14	Rhamnus cf.	Indeterminable: unknown	INUN	3	
Mercuri_i14	Lycopodium (added)	Lycopodium (added)	NOPO	10679	
Mercuri_i14	Lycopodium (counted)	Lycopodium (counted)	NOPO	43	
Mercuri_i14	Pollen Sum	Pollen sums	NOPO	342	
Mercuri_i14	Weight (g)	Weight	NOPO	2.42	
