samplename	original_varname	acc_varname	groupid	count	percentage	notes
Salonen_a33	Alnus	Alnus	TRSH	13	2.6104418	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Betula	Betula	TRSH	186	37.349398	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Corylus	Corylus	TRSH	1	0.20080321	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Larix type	Larix/Pseudotsuga	TRSH	1	0.20080321	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Picea	Picea	TRSH	72	14.457831	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Pinus	Pinus	TRSH	113	22.690763	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Salix	Salix	TRSH	3	0.60240964	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Ambrosia type	Ambrosia/Xanthium	HERB	1	0.20080321	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Apiaceae	Apiaceae	HERB	1	0.20080321	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Artemisia	Artemisia	HERB	7	1.4056225	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Aster type	Aster-type	HERB	1	0.20080321	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	4	0.80321285	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Cyperaceae	Cyperaceae	HERB	23	4.6184739	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Filipendula	Filipendula	HERB	3	0.60240964	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Graminae	Poaceae	HERB	18	3.6144578	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Polygonum bistorta type	Polygonum bistorta-type	HERB	4	0.80321285	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Ranunculaceae	Ranunculaceae	HERB	3	0.60240964	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Sanguisorba officinalis	Sanguisorba officinalis	HERB	1	0.20080321	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Thalictrum	Thalictrum	HERB	1	0.20080321	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Nuphar	Nuphar	AQUA	1	0.20080321	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Salonen_a33	Potamogeton	Potamogeton-type	AQUA	1	0.20080321	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Botrychium multifidum	Botrychium lunaria-type	VACR	1	0.20080321	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Dryopteris type	Dryopteris-type	VACR	34	6.8273092	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Lycopodium annotinum	Lycopodium annotinum-type	VACR	6	1.2048193	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Salonen_a33	Lycopodium clavatum	Lycopodium clavatum	VACR	1	0.20080321	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Salonen_a33	Sphagnum	Sphagnum	NOPO	20		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
