samplename	original_varname	acc_varname	groupid	count	percentage
Nakagawa_d17	Abies	Abies	TRSH	27	3.9764359
Nakagawa_d17	Acer	Acer campestre-type	TRSH	1	0.14727541
Nakagawa_d17	Alnus	Alnus	TRSH	127	18.703976
Nakagawa_d17	Araliaceae	Araliaceae	TRSH	1	0.14727541
Nakagawa_d17	Betula	Betula	TRSH	81	11.929308
Nakagawa_d17	Celtis-Aphananthe	Cannabaceae	TRSH	3	0.44182622
Nakagawa_d17	Corylus	Corylus	TRSH	2	0.29455081
Nakagawa_d17	Cryptomeria	Cryptomeria-type	TRSH	5	0.73637703
Nakagawa_d17	Fagus	Fagus	TRSH	1	0.14727541
Nakagawa_d17	Pterocarya-Juglans	Juglandaceae	TRSH	12	1.7673049
Nakagawa_d17	Larix	Larix/Pseudotsuga	TRSH	7	1.0309278
Nakagawa_d17	Carpinus-Ostrya	Ostrya/Carpinus orientalis	TRSH	9	1.3254786
Nakagawa_d17	Phellodendron	Phellodendron	TRSH	1	0.14727541
Nakagawa_d17	Picea	Picea	TRSH	6	0.88365243
Nakagawa_d17	Pinus-H	Pinus cembra-type	TRSH	3	0.44182622
Nakagawa_d17	Pinus-D	Pinus sylvestris-type	TRSH	29	4.2709867
Nakagawa_d17	Quercus	Quercus	TRSH	85	12.518409
Nakagawa_d17	Cyclobalanopsis	Quercus ilex-type	TRSH	1	0.14727541
Nakagawa_d17	Salix	Salix	TRSH	12	1.7673049
Nakagawa_d17	Tilia	Tilia	TRSH	1	0.14727541
Nakagawa_d17	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	24	3.5346097
Nakagawa_d17	Artemisia	Artemisia	HERB	112	16.494845
Nakagawa_d17	Carduoideae	Asteraceae	HERB	13	1.9145803
Nakagawa_d17	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	25	3.6818851
Nakagawa_d17	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.14727541
Nakagawa_d17	Gramineae(>40)	Cerealia-type	HERB	5	0.73637703
Nakagawa_d17	Chenopodiaceae-Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	7	1.0309278
Nakagawa_d17	Cyperaceae	Cyperaceae	HERB	6	0.88365243
Nakagawa_d17	Gramineae(<40)	Poaceae	HERB	8	1.1782032
Nakagawa_d17	Reynoutria	Reynoutria	HERB	52	7.6583211
Nakagawa_d17	Rumex	Rumex/Oxyria	HERB	2	0.29455081
Nakagawa_d17	Moraceae-Urticaceae	Urticaceae/Moraceae	HERB	3	0.44182622
Nakagawa_d17	Aspid.-Asple.	Monolete fern spores	VACR	1	0.14727541
Nakagawa_d17	MONOLATE-TYPE-SPORE	Monolete fern spores	VACR	4	0.58910162
Nakagawa_d17	TRILATE-TYPE-SPORE	Trilete spore(s)	VACR	2	0.29455081
Nakagawa_d17	UNKNOWN-POLLEN	Indeterminable: unknown	INUN	12	
Nakagawa_d17	UNKNOWN-POLLEN/SPORES	Indeterminable: unknown	INUN	386	
