samplename	original_varname	acc_varname	groupid	count	percentage
Atanassova_e5	Acer	Acer campestre-type	TRSH	3	0.36363636
Atanassova_e5	Alnus	Alnus	TRSH	33	4
Atanassova_e5	Betula	Betula	TRSH	26	3.1515152
Atanassova_e5	Carpinus betulus	Carpinus betulus	TRSH	64	7.7575758
Atanassova_e5	Corylus	Corylus	TRSH	11	1.3333333
Atanassova_e5	Fagus	Fagus	TRSH	159	19.272727
Atanassova_e5	Fraxinus ornus	Fraxinus ornus	TRSH	1	0.12121212
Atanassova_e5	Picea	Picea	TRSH	19	2.3030303
Atanassova_e5	Pinus	Pinus	TRSH	305	36.969697
Atanassova_e5	Apiaceae	Apiaceae	HERB	2	0.24242424
Atanassova_e5	Artemisia	Artemisia	HERB	6	0.72727273
Atanassova_e5	Asteraceae (Tubuliflorae)	Asteraceae subf. Asteroideae	HERB	6	0.72727273
Atanassova_e5	Centaurea jacea type	Centaurea nigra-type	HERB	26	3.1515152
Atanassova_e5	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	18	2.1818182
Atanassova_e5	Plantago lanceolata	Plantago lanceolata-type	HERB	26	3.1515152
Atanassova_e5	Poaceae	Poaceae	HERB	111	13.454545
Atanassova_e5	Polygonum aviculare	Polygonum aviculare-type	HERB	3	0.36363636
Atanassova_e5	Rubiaceae	Rubiaceae	HERB	5	0.60606061
Atanassova_e5	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.12121212
