samplename	original_varname	acc_varname	groupid	count	percentage
MunozSobrino_a7	Alnus	Alnus	TRSH	3	1.76
MunozSobrino_a7	Betula	Betula	TRSH	1	0.59
MunozSobrino_a7	Castanea-type	Castanea sativa	TRSH	3	1.76
MunozSobrino_a7	Erica	Erica	TRSH	1	0.59
MunozSobrino_a7	Pinus	Pinus	TRSH	58	34.12
MunozSobrino_a7	Quercus robur-type	Quercus robur-type	TRSH	4	2.35
MunozSobrino_a7	Umbelliferae	Apiaceae	HERB	2	1.18
MunozSobrino_a7	Asteraceae	Asteraceae	HERB	14	8.24
MunozSobrino_a7	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	4	2.35
MunozSobrino_a7	Cyperaceae	Cyperaceae	HERB	8	4.71
MunozSobrino_a7	Helianthemum	Helianthemum	HERB	1	0.59
MunozSobrino_a7	Hypericum perforatum-type	Hypericum perforatum-type	HERB	1	0.59
MunozSobrino_a7	Lotus-type	Lotus-type	HERB	1	0.59
MunozSobrino_a7	Plantago maritima-type	Plantago maritima-type	HERB	11	6.47
MunozSobrino_a7	Poaceae	Poaceae	HERB	42	24.71
MunozSobrino_a7	Ranunculus-type	Ranunculus-type	HERB	1	0.59
MunozSobrino_a7	Urtica	Urtica	HERB	1	0.59
MunozSobrino_a7	Monolete	Monolete fern spores	VACR	12	7.06
MunozSobrino_a7	Trilete	Trilete spore(s)	VACR	2	1.18
MunozSobrino_a7	Botryococcus	Botryococcus	ALGA	13	7.65
MunozSobrino_a7	Chlorococcales	Chlorococcales	ALGA	108	63.53
MunozSobrino_a7	Non-septate filamentous algae undet.	Non-septate filamentous algae undet.	ALGA	9	5.29
MunozSobrino_a7	Type 225	Type 225/229	ALGA	17	10
MunozSobrino_a7	Ullotrix/Microspora-type	Ullotrix/Microspora-type	ALGA	4	2.35
MunozSobrino_a7	Phragmospore undet.	Indeterminable: unknown	INUN	117	
MunozSobrino_a7	Spicules	Spicules	INUN	17	
MunozSobrino_a7	Arcella	Arcella	RHIZ	9	
MunozSobrino_a7	Assulina	Assulina	RHIZ	13	
MunozSobrino_a7	Oscillatoria	Cyanobacteria	CYAN	4	
MunozSobrino_a7	Eucalyptus	Eucalyptus spike (counted)	NOPO	2	
MunozSobrino_a7	Foram	Foraminifera	INVE	17	
MunozSobrino_a7	Hiphae	Fungal Hyphae	FUNG	705	
MunozSobrino_a7	Fungal spore undet.	Fungal spore	FUNG	22	
MunozSobrino_a7	Glomus	Glomus	FUNG	9	
MunozSobrino_a7	Artropod	Invertebrata	INVE	22	
MunozSobrino_a7	Multiseptate conidia undet.	Multiseptate conidia undet.	FUNG	78	
MunozSobrino_a7	Neobardocoela oocytes	Neorhabdocoela	PLAT	13	
MunozSobrino_a7	Neurospora	Neurospora	FUNG	39	
MunozSobrino_a7	Phytolith	Phytolith	NOPO	26	
MunozSobrino_a7	Sordariaceus ascospores	Sordariaceus ascospores	FUNG	411	
MunozSobrino_a7	Type 1066	Type 1066	FUNG	78	
MunozSobrino_a7	Type 109	Type 109	NOPO	4	
MunozSobrino_a7	Type 200	Type 200	FUNG	4	
MunozSobrino_a7	Type 201	Type 201	FUNG	134	
MunozSobrino_a7	Typer 27	Type 27	FUNG	4	
MunozSobrino_a7	Xilariaceae	Xylariaceae	FUNG	39	
