samplename	original_varname	acc_varname	groupid	count	percentage
Shumilovskikh_a5	Alnus	Alnus	TRSH	24	7.01
Shumilovskikh_a5	Carpinus betulus	Carpinus betulus	TRSH	3	0.88
Shumilovskikh_a5	Corylus	Corylus	TRSH	10	2.92
Shumilovskikh_a5	Fagus	Fagus	TRSH	9	2.63
Shumilovskikh_a5	Juniperus	Juniperus communis-type	TRSH	2	0.58
Shumilovskikh_a5	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	7	2.04
Shumilovskikh_a5	Pinus diploxylon-type	Pinus sylvestris-type	TRSH	126.5	36.93
Shumilovskikh_a5	Quercus robur-type	Quercus robur-type	TRSH	140	40.88
Shumilovskikh_a5	Salix	Salix	TRSH	1	0.29
Shumilovskikh_a5	Artemisia	Artemisia	HERB	2	0.58
Shumilovskikh_a5	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.29
Shumilovskikh_a5	Cerealia-type	Cerealia-type	HERB	1	0.29
Shumilovskikh_a5	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.58
Shumilovskikh_a5	Cyperaceae	Cyperaceae	HERB	1	0.29
Shumilovskikh_a5	Plantago lanceolata-type	Plantago lanceolata-type	HERB	1	0.29
Shumilovskikh_a5	Poaceae	Poaceae	HERB	7	2.04
Shumilovskikh_a5	Xanthium spinosum-type	Xanthium	HERB	5	1.46
Shumilovskikh_a5	Indeterminata	Indeterminable: unknown	INUN	3	
Shumilovskikh_a5	Varia	Indeterminable: unknown	INUN	1	
Shumilovskikh_a5	4-5 colporat 20 mkm, psilat, schmetterlingsporen	4-5 colporat 20 mkm, psilat, schmetterlingsporen	NOPO	13	
