samplename	original_varname	acc_varname	groupid	count	percentage
Sadori_h2	Alnus	Alnus	TRSH	8	1.14
Sadori_h2	Betula	Betula	TRSH	1	0.14
Sadori_h2	Carpinus betulus	Carpinus betulus	TRSH	33	4.7
Sadori_h2	Castanea	Castanea sativa	TRSH	38	5.41
Sadori_h2	Corylus	Corylus	TRSH	61	8.69
Sadori_h2	Ephedra fragilis-type	Ephedra fragilis-type	TRSH	1	0.14
Sadori_h2	Ericaceae	Ericales (tetrad)	DWAR	10	1.42
Sadori_h2	Fagus	Fagus	TRSH	271	38.6
Sadori_h2	Fraxinus	Fraxinus	TRSH	36	5.13
Sadori_h2	Ilex	Ilex	TRSH	2	0.28
Sadori_h2	Juniperus	Juniperus communis-type	TRSH	14	1.99
Sadori_h2	Moraceae	Moraceae	TRSH	2	0.28
Sadori_h2	Olea	Olea europaea	TRSH	8	1.14
Sadori_h2	Ostrya	Ostrya/Carpinus orientalis	TRSH	9	1.28
Sadori_h2	Picea	Picea	TRSH	1	0.14
Sadori_h2	Pinus	Pinus	TRSH	13	1.85
Sadori_h2	Quercus ilex-type	Quercus ilex-type	TRSH	18	2.56
Sadori_h2	Quercus deciduous	Quercus robur-type	TRSH	87	12.39
Sadori_h2	Rosaceae	Rosaceae	TRSH	1	0.14
Sadori_h2	Sambucus	Sambucus	TRSH	9	1.28
Sadori_h2	Artemisia	Artemisia	HERB	1	0.14
Sadori_h2	Cruciferae	Brassicaceae	HERB	13	1.85
Sadori_h2	Campanulaceae	Campanulaceae	HERB	13	1.85
Sadori_h2	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.14
Sadori_h2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	8	1.14
Sadori_h2	Leguminosae	Leguminosae	HERB	5	0.71
Sadori_h2	Liliaceae	Liliaceae-type	HERB	16	2.28
Sadori_h2	Plantago	Plantago	HERB	1	0.14
Sadori_h2	Gramineae	Poaceae	HERB	10	1.42
Sadori_h2	Ranunculaceae	Ranunculaceae	HERB	4	0.57
Sadori_h2	Urticaceae	Urticaceae	HERB	6	0.85
Sadori_h2	Trilete spores	Trilete spore(s)	VACR	1	0.14
Sadori_h2	Lycopodium (added)	Lycopodium (added)	NOPO	54000	
Sadori_h2	Lycopodium (counted)	Lycopodium (counted)	NOPO	231	
