samplename	original_varname	acc_varname	groupid	count	percentage
Kolaczek_g17	Acer	Acer campestre-type	TRSH	1	0.056116723
Kolaczek_g17	Aesculus hippocastanum	Aesculus hippocastanum	TRSH	0.5	0.028058361
Kolaczek_g17	Alnus undiff.	Alnus	TRSH	37	2.0763187
Kolaczek_g17	Betula undiff.	Betula	TRSH	115	6.4534231
Kolaczek_g17	Calluna vulgaris	Calluna vulgaris	TRSH	4	0.22446689
Kolaczek_g17	Carpinus betulus	Carpinus betulus	TRSH	21	1.1784512
Kolaczek_g17	Corylus avellana	Corylus	TRSH	13	0.7295174
Kolaczek_g17	Fagus sylvatica	Fagus	TRSH	3	0.16835017
Kolaczek_g17	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	5	0.28058361
Kolaczek_g17	Larix	Larix/Pseudotsuga	TRSH	1	0.056116723
Kolaczek_g17	Picea abies	Picea abies-type	TRSH	9	0.50505051
Kolaczek_g17	Pinus sylvestris type	Pinus sylvestris-type	TRSH	415	23.28844
Kolaczek_g17	Populus	Populus	TRSH	4	0.22446689
Kolaczek_g17	Padus avium	Prunus-type	TRSH	0.5	0.028058361
Kolaczek_g17	Quercus	Quercus	TRSH	23	1.2906846
Kolaczek_g17	Salix undiff.	Salix	TRSH	1	0.056116723
Kolaczek_g17	Sambucus nigra/S. racemosa	Sambucus nigra/S. racemosa	TRSH	2	0.11223345
Kolaczek_g17	Tilia cordata	Tilia cordata-type	TRSH	5	0.28058361
Kolaczek_g17	Ulmus	Ulmus/Zelkova	TRSH	2	0.11223345
Kolaczek_g17	Ambrosia-type	Ambrosia	HERB	3	0.16835017
Kolaczek_g17	Apiaceae undiff.	Apiaceae	HERB	0.5	0.028058361
Kolaczek_g17	Artemisia	Artemisia	HERB	8	0.44893378
Kolaczek_g17	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	12	0.67340067
Kolaczek_g17	Lotus-type	Astragalus-type	HERB	0.5	0.028058361
Kolaczek_g17	Avena-type	Avena-type	HERB	4	0.22446689
Kolaczek_g17	Brassicaceae	Brassicaceae	HERB	3	0.16835017
Kolaczek_g17	Cerealia undiff.	Cerealia-type	HERB	15	0.84175084
Kolaczek_g17	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	0.16835017
Kolaczek_g17	Cyperaceae	Cyperaceae	HERB	4	0.22446689
Kolaczek_g17	Anthemis-type	Matricaria-type	HERB	2	0.11223345
Kolaczek_g17	Plantago lanceolata	Plantago lanceolata-type	HERB	2	0.11223345
Kolaczek_g17	Poaceae undiff.	Poaceae	HERB	42	2.3569024
Kolaczek_g17	Ranunculus acris type	Ranunculus acris-type	HERB	1	0.056116723
Kolaczek_g17	Rumex acetosa-type	Rumex acetosa-type	HERB	3	0.16835017
Kolaczek_g17	Sinapis-type	Sinapis-type	HERB	1	0.056116723
Kolaczek_g17	Triticum-type	Triticum-type	HERB	1	0.056116723
Kolaczek_g17	Urtica undiff.	Urtica	HERB	12	0.67340067
Kolaczek_g17	Sphagnum	Sphagnum	BRYO	1003	56.285073
Kolaczek_g17	Corroded	Indeterminable: corroded	INUN	1	
Kolaczek_g17	Varia	Indeterminable: unknown	INUN	2	
