samplename	original_varname	acc_varname	groupid	count	percentage
Miras_f7	Alnus	Alnus	TRSH	3	1.95
Miras_f7	Betula	Betula	TRSH	8	5.19
Miras_f7	Corylus	Corylus	TRSH	1	0.65
Miras_f7	Fagus	Fagus	TRSH	7	4.55
Miras_f7	Olea	Olea europaea	TRSH	1	0.65
Miras_f7	Picea	Picea	TRSH	5	3.25
Miras_f7	Pinus	Pinus	TRSH	27	17.53
Miras_f7	Quercus	Quercus	TRSH	18	11.69
Miras_f7	Rosaceae	Rosaceae	TRSH	1	0.65
Miras_f7	Salix	Salix	TRSH	1	0.65
Miras_f7	Tilia	Tilia	TRSH	1	0.65
Miras_f7	Viburnum	Viburnum	TRSH	1	0.65
Miras_f7	Cerealia	Cerealia-type	HERB	1	0.65
Miras_f7	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.65
Miras_f7	Crassula	Crassulaceae	HERB	1	0.65
Miras_f7	Poaceae	Poaceae	HERB	9	5.84
Miras_f7	Ranunculaceae	Ranunculaceae	HERB	1	0.65
Miras_f7	Galium	Rubiaceae	HERB	66	42.86
Miras_f7	Rumex	Rumex/Oxyria	HERB	1	0.65
Miras_f7	Cyperaceae	Cyperaceae	AQUA	3	1.95
Miras_f7	Fabaceae	Fabaceae	INUN	26	
Miras_f7	Varia	Indeterminable: unknown	INUN	1	
