samplename	original_varname	acc_varname	groupid	count	percentage
Blyakharchuk_a28	Abies sibirica	Abies sibirica	TRSH	19	4.44
Blyakharchuk_a28	Betula nana	Betula nana-type	DWAR	5	1.17
Blyakharchuk_a28	Betula pendula	Betula pubescens-type	TRSH	133	31.07
Blyakharchuk_a28	Betula pubescens	Betula pubescens-type	TRSH	2	0.47
Blyakharchuk_a28	Larix sibirica	Larix/Pseudotsuga	TRSH	8	1.87
Blyakharchuk_a28	Picea obovata	Picea abies-type	TRSH	3	0.7
Blyakharchuk_a28	Pinus sibirica	Pinus cembra-type	TRSH	32	7.48
Blyakharchuk_a28	Pinus sylvestris	Pinus sylvestris-type	TRSH	54	12.62
Blyakharchuk_a28	Populus	Populus	TRSH	2	0.47
Blyakharchuk_a28	Salix	Salix	TRSH	2	0.47
Blyakharchuk_a28	Sambucus sibirica	Sambucus sibirica	TRSH	1	0.23
Blyakharchuk_a28	Androsace	Androsace	HERB	1	0.23
Blyakharchuk_a28	Anemone	Anemone nemorosa-type	HERB	4	0.93
Blyakharchuk_a28	Umbellifera	Apiaceae	HERB	1	0.23
Blyakharchuk_a28	Artemisia	Artemisia	HERB	30	7.01
Blyakharchuk_a28	Spirea type	Aruncus/Spiraea	HERB	1	0.23
Blyakharchuk_a28	Cruciferae	Brassicaceae	HERB	1	0.23
Blyakharchuk_a28	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.23
Blyakharchuk_a28	Cyperaceae	Cyperaceae	HERB	3	0.7
Blyakharchuk_a28	Fabaceaa	Fabaceae	HERB	1	0.23
Blyakharchuk_a28	Filipendula	Filipendula	HERB	2	0.47
Blyakharchuk_a28	Hordeum	Hordeum-type	HERB	2	0.47
Blyakharchuk_a28	Lamiaceae	Lamiaceae	HERB	1	0.23
Blyakharchuk_a28	Phlomis	Phlomis	HERB	1	0.23
Blyakharchuk_a28	Plantago	Plantago	HERB	1	0.23
Blyakharchuk_a28	Poaceae	Poaceae	HERB	12	2.8
Blyakharchuk_a28	Potentilla	Potentilla-type	HERB	1	0.23
Blyakharchuk_a28	Ranunculus type	Ranunculus-type	HERB	1	0.23
Blyakharchuk_a28	Galium	Rubiaceae	HERB	1	0.23
Blyakharchuk_a28	Thalictrum	Thalictrum	HERB	2	0.47
Blyakharchuk_a28	Bryales	Bryophyte spores	BRYO	84	19.63
Blyakharchuk_a28	Lycopodium clavat	Lycopodium clavatum	VACR	12	2.8
Blyakharchuk_a28	Monolete	Monolete fern spores	VACR	4	0.93
Blyakharchuk_a28	Myriophyllum	Myriophyllum	AQUA	1	0.23
Blyakharchuk_a28	Potomogeton	Potamogeton-type	AQUA	2	0.47
