samplename	original_varname	acc_varname	groupid	count	percentage	notes
Blyakharchuk_a28	Abies sibirica	Abies sibirica	TRSH	19	4.4392523	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Betula nana	Betula nana-type	DWAR	5	1.1682243	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Betula pendula	Betula pubescens-type	TRSH	133	31.074766	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Betula pubescens	Betula pubescens-type	TRSH	2	0.46728972	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Larix sibirica	Larix/Pseudotsuga	TRSH	8	1.8691589	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Picea obovata	Picea abies-type	TRSH	3	0.70093458	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Pinus sibirica	Pinus cembra-type	TRSH	32	7.4766355	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Pinus sylvestris	Pinus sylvestris-type	TRSH	54	12.616822	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Populus	Populus	TRSH	2	0.46728972	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Blyakharchuk_a28	Salix	Salix	TRSH	2	0.46728972	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Blyakharchuk_a28	Sambucus sibirica	Sambucus sibirica	TRSH	1	0.23364486	GroupID taken from spreadsheet
Blyakharchuk_a28	Androsace	Androsace	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Anemone	Anemone nemorosa-type	HERB	4	0.93457944	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Umbellifera	Apiaceae	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Artemisia	Artemisia	HERB	30	7.0093458	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Spirea type	Aruncus/Spiraea	HERB	1	0.23364486	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Cruciferae	Brassicaceae	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.23364486	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Cyperaceae	Cyperaceae	HERB	3	0.70093458	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Fabaceaa	Fabaceae	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Filipendula	Filipendula	HERB	2	0.46728972	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Hordeum	Hordeum-type	HERB	2	0.46728972	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Lamiaceae	Lamiaceae	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Phlomis	Phlomis	HERB	1	0.23364486	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Plantago	Plantago	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Poaceae	Poaceae	HERB	12	2.8037383	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Potentilla	Potentilla-type	HERB	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Ranunculus type	Ranunculus-type	HERB	1	0.23364486	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Galium	Rubiaceae	HERB	1	0.23364486	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Blyakharchuk_a28	Thalictrum	Thalictrum	HERB	2	0.46728972	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Myriophyllum	Myriophyllum	AQUA	1	0.23364486	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a28	Potomogeton	Potamogeton-type	AQUA	2	0.46728972	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Bryales	Bryophyte spores	BRYO	84	19.626168	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a28	Lycopodium clavat	Lycopodium clavatum	VACR	12	2.8037383	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Blyakharchuk_a28	Monolete	Monolete fern spores	VACR	4	0.93457944	GroupID taken from POLNET. Only one taxon matched that acc_varname.
