samplename	original_varname	acc_varname	groupid	count	percentage
Beaudouin_a7	Abies	Abies	TRSH	2	0.42
Beaudouin_a7	Alnus	Alnus	TRSH	3	0.63
Beaudouin_a7	Buxus sempervirens	Buxus	TRSH	2	0.42
Beaudouin_a7	Cedrus	Cedrus	TRSH	1	0.21
Beaudouin_a7	Corylus	Corylus	TRSH	2	0.42
Beaudouin_a7	Cupressaceae	Cupressaceae undiff.	TRSH	7	1.46
Beaudouin_a7	Ericaceae	Ericales (tetrad)	DWAR	3	0.63
Beaudouin_a7	Fraxinus	Fraxinus	TRSH	4	0.84
Beaudouin_a7	Picea	Picea	TRSH	15	3.14
Beaudouin_a7	Pinus	Pinus	TRSH	336	70.29
Beaudouin_a7	Platanus	Platanus	TRSH	3	0.63
Beaudouin_a7	Populus	Populus	TRSH	1	0.21
Beaudouin_a7	Quercus ilex-type	Quercus ilex-type	TRSH	5	1.05
Beaudouin_a7	Quercus deciduous	Quercus robur-type	TRSH	42	8.79
Beaudouin_a7	Rosaceae	Rosaceae	TRSH	1	0.21
Beaudouin_a7	Salix	Salix	TRSH	7	1.46
Beaudouin_a7	Tilia	Tilia	TRSH	1	0.21
Beaudouin_a7	Ulmus	Ulmus/Zelkova	TRSH	2	0.42
Beaudouin_a7	Vitis	Vitis	LIAN	1	0.21
Beaudouin_a7	Ambrosia	Ambrosia	HERB	1	0.21
Beaudouin_a7	Artemisia	Artemisia	HERB	5	1.05
Beaudouin_a7	Asteroideae	Asteraceae subf. Asteroideae	HERB	2	0.42
Beaudouin_a7	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.42
Beaudouin_a7	Brassicaceae	Brassicaceae	HERB	3	0.63
Beaudouin_a7	Amaranthaceae/Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	15	3.14
Beaudouin_a7	Linum	Linum	HERB	1	0.21
Beaudouin_a7	Poaceae	Poaceae	HERB	7	1.46
Beaudouin_a7	Ranunculaceae	Ranunculaceae	HERB	1	0.21
Beaudouin_a7	Urticaceae	Urticaceae	HERB	3	0.63
Beaudouin_a7	Cyperaceae	Cyperaceae	AQUA	6	1.26
Beaudouin_a7	Typha	Sparganium-type	AQUA	1	0.21
Beaudouin_a7	Fabaceae	Fabaceae	INUN	1	
