samplename	original_varname	acc_varname	groupid	count	percentage
Morales_a9	Arbutus unedo	Arbutus	TRSH	3	0.94637224
Morales_a9	Betula pubescens-type	Betula pubescens-type	TRSH	1	0.31545741
Morales_a9	Calluna vulgaris	Calluna vulgaris	TRSH	3	0.94637224
Morales_a9	Cistus	Cistus	TRSH	9	2.8391167
Morales_a9	Erica arborea-type	Erica arborea-type	TRSH	32	10.094637
Morales_a9	Erica australis	Erica ciliaris-type	DWAR	7	2.2082019
Morales_a9	Erica tetralix	Erica tetralix-type	DWAR	17	5.362776
Morales_a9	Erica umbellata	Erica umbellata	DWAR	2	0.63091483
Morales_a9	Genista/Cytisus-type	Genista-type	TRSH	1	0.31545741
Morales_a9	Olea	Olea europaea	TRSH	8	2.5236593
Morales_a9	Phillyrea	Phillyrea	TRSH	6	1.8927445
Morales_a9	Pinus (diploxylon)	Pinus sylvestris-type	TRSH	4	1.2618297
Morales_a9	Quercus suber-type	Quercus cerris-type	TRSH	32	10.094637
Morales_a9	Quercus ilex-type	Quercus ilex-type	TRSH	22	6.9400631
Morales_a9	Quercus deciduous-type	Quercus robur-type	TRSH	115	36.277603
Morales_a9	Rosa-type	Rosa	TRSH	1	0.31545741
Morales_a9	Viburnum	Viburnum	TRSH	2	0.63091483
Morales_a9	Aster-type	Aster-type	HERB	1	0.31545741
Morales_a9	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.63091483
Morales_a9	Cyperaceae	Cyperaceae	HERB	6	1.8927445
Morales_a9	Lamiaceae 6-colpate	Lamiaceae (hexacolpate)	HERB	1	0.31545741
Morales_a9	Plantago coronopus-type	Plantago coronopus-type	HERB	1	0.31545741
Morales_a9	Plantago lanceolata-type	Plantago lanceolata-type	HERB	2	0.63091483
Morales_a9	Poaceae	Poaceae	HERB	36	11.356467
Morales_a9	Rumex acetosa/Rumex acetosella-type	Rumex acetosa-type	HERB	2	0.63091483
Morales_a9	Sphagnum	Sphagnum	BRYO	1	0.31545741
Morales_a9	Unknown pollen	Indeterminable: unknown	INUN	1	
Morales_a9	Sporormiella-type	Sporormiella-type	FUNG	9	
