samplename	original_varname	acc_varname	groupid	count	percentage
Miras_c5	Abies	Abies	TRSH	2	0.46082949
Miras_c5	Acer	Acer campestre-type	TRSH	1	0.23041475
Miras_c5	Alnus	Alnus	TRSH	4	0.92165899
Miras_c5	Betula	Betula	TRSH	22	5.0691244
Miras_c5	Calluna	Calluna	DWAR	1	0.23041475
Miras_c5	Carpinus	Carpinus betulus	TRSH	2	0.46082949
Miras_c5	Castanea	Castanea sativa	TRSH	1	0.23041475
Miras_c5	Corylus	Corylus	TRSH	14	3.2258065
Miras_c5	Fagus	Fagus	TRSH	226	52.073733
Miras_c5	Ilex	Ilex	TRSH	2	0.46082949
Miras_c5	Larix	Larix/Pseudotsuga	TRSH	3	0.69124424
Miras_c5	Picea	Picea	TRSH	15	3.4562212
Miras_c5	Pinus	Pinus	TRSH	57	13.133641
Miras_c5	Quercus	Quercus	TRSH	37	8.5253456
Miras_c5	Rosaceae	Rosaceae	TRSH	2	0.46082949
Miras_c5	Apiaceae	Apiaceae	HERB	1	0.23041475
Miras_c5	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.23041475
Miras_c5	Cerealia	Cerealia-type	HERB	5	1.1520737
Miras_c5	Filipendula	Filipendula	HERB	2	0.46082949
Miras_c5	Plantago	Plantago	HERB	1	0.23041475
Miras_c5	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.23041475
Miras_c5	Poaceae	Poaceae	HERB	27	6.2211982
Miras_c5	Rumex	Rumex/Oxyria	HERB	6	1.3824885
Miras_c5	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.23041475
Miras_c5	Sparganium	Potamogeton-type	AQUA	1	0.23041475
Miras_c5	Varia	Indeterminable: unknown	INUN	15	
