samplename	original_varname	acc_varname	groupid	count	percentage
Nakagawa_c10	Abies	Abies	TRSH	27	4.4776119
Nakagawa_c10	Acer	Acer campestre-type	TRSH	1	0.16583748
Nakagawa_c10	Alnus	Alnus	TRSH	127	21.06136
Nakagawa_c10	Betula	Betula	TRSH	81	13.432836
Nakagawa_c10	Carpinus	Carpinus betulus	TRSH	9	1.4925373
Nakagawa_c10	Corylus	Corylus	TRSH	2	0.33167496
Nakagawa_c10	Cryptomeria	Cryptomeria-type	TRSH	5	0.8291874
Nakagawa_c10	Fagus	Fagus	TRSH	1	0.16583748
Nakagawa_c10	Juglans-Pterocarya	Juglandaceae	TRSH	12	1.9900498
Nakagawa_c10	Larix	Larix/Pseudotsuga	TRSH	7	1.1608624
Nakagawa_c10	Picea	Picea	TRSH	6	0.99502488
Nakagawa_c10	Pinus	Pinus	TRSH	32	5.3067993
Nakagawa_c10	Quercus-E	Quercus ilex-type	TRSH	1	0.16583748
Nakagawa_c10	Quercus-D	Quercus robur-type	TRSH	85	14.096186
Nakagawa_c10	Salix	Salix	TRSH	12	1.9900498
Nakagawa_c10	Tilia	Tilia	TRSH	1	0.16583748
Nakagawa_c10	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	24	3.9800995
Nakagawa_c10	Artemisia	Artemisia	HERB	112	18.573798
Nakagawa_c10	Compo.	Asteraceae	HERB	38	6.3018242
Nakagawa_c10	Chenopo.	Chenopodiaceae/Amaranthaceae	HERB	7	1.1608624
Nakagawa_c10	Gramine.	Poaceae	HERB	13	2.1558872
