samplename	original_varname	acc_varname	groupid	count	percentage	notes
Svobodova_a19	Abies	Abies	TRSH	3	0.54446461	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Alnus	Alnus	TRSH	6	1.0889292	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Betula	Betula	TRSH	20	3.6297641	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Carpinus	Carpinus betulus	TRSH	1	0.1814882	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Corylus	Corylus	TRSH	4	0.72595281	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Fagus	Fagus	TRSH	3	0.54446461	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Picea	Picea	TRSH	132	23.956443	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Pinus	Pinus	TRSH	328	59.528131	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Quercus	Quercus	TRSH	5	0.90744102	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Salix	Salix	TRSH	2	0.36297641	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Svobodova_a19	Vaccinium myrtillus	Vaccinium	DWAR	19	3.4482759	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Vaccinium vitis-idaea	Vaccinium	DWAR	3	0.54446461	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	cf. Heracleum sphondylium	Apiaceae	HERB	1	0.1814882	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Svobodova_a19	Brassicaceae	Brassicaceae	HERB	2	0.36297641	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Svobodova_a19	CHAEROPHYLLUM HIRSUTUM	Chaerophyllum hirsutum-type	HERB	1	0.1814882	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.1814882	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Peucedanum	Peucedanum-type	HERB	1	0.1814882	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Plantago lanceolata	Plantago lanceolata-type	HERB	4	0.72595281	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Poaceae	Poaceae	HERB	10	1.814882	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Svobodova_a19	Rumex acetosa	Rumex acetosa-type	HERB	1	0.1814882	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Secale cereale	Secale cereale	HERB	3	0.54446461	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Svobodova_a19	Trifolium	Trifolium-type	HERB	1	0.1814882	GroupID taken from POLNET. Only one taxon matched that acc_varname.
