samplename	original_varname	acc_varname	groupid	count	percentage
Mitchell_a27	Alnus	Alnus	TRSH	3	0.39840637
Mitchell_a27	Arbutus	Arbutus	TRSH	3	0.39840637
Mitchell_a27	Betula	Betula	TRSH	85	11.288181
Mitchell_a27	Calluna	Calluna vulgaris	DWAR	1	0.13280212
Mitchell_a27	Clematis	Clematis	TRSH	2	0.26560425
Mitchell_a27	Corylus	Corylus	TRSH	1	0.13280212
Mitchell_a27	Fagus	Fagus	TRSH	8	1.062417
Mitchell_a27	Fraxinus	Fraxinus	TRSH	6	0.79681275
Mitchell_a27	Ilex	Ilex	TRSH	202	26.826029
Mitchell_a27	Juniperus	Juniperus communis-type	TRSH	1	0.13280212
Mitchell_a27	Picea	Picea	TRSH	1	0.13280212
Mitchell_a27	Pinus	Pinus	TRSH	3	0.39840637
Mitchell_a27	Malus	Prunus-type	TRSH	1	0.13280212
Mitchell_a27	Quercus	Quercus	TRSH	201	26.693227
Mitchell_a27	Rosaceae undiff.	Rosa	TRSH	1	0.13280212
Mitchell_a27	Salix	Salix	TRSH	3	0.39840637
Mitchell_a27	Sorbus	Sorbus-type	TRSH	2	0.26560425
Mitchell_a27	Taxus	Taxus baccata	TRSH	191	25.365206
Mitchell_a27	Ulmus	Ulmus/Zelkova	TRSH	1	0.13280212
Mitchell_a27	Vaccinium	Vaccinium	DWAR	1	0.13280212
Mitchell_a27	Hedera	Hedera	LIAN	14	1.8592297
Mitchell_a27	Anemone	Anemone nemorosa-type	HERB	3	0.39840637
Mitchell_a27	Sanicula	Astrantia-type	HERB	1	0.13280212
Mitchell_a27	Filipendula	Filipendula	HERB	1	0.13280212
Mitchell_a27	Melampyrum	Melampyrum	HERB	1	0.13280212
Mitchell_a27	Plantago lanceolata	Plantago lanceolata-type	HERB	2	0.26560425
Mitchell_a27	Gramineae	Poaceae	HERB	3	0.39840637
Mitchell_a27	Ranunculus	Ranunculus-type	HERB	2	0.26560425
Mitchell_a27	Rumex acetosella-type	Rumex acetosella	HERB	2	0.26560425
Mitchell_a27	Umbilicus	Umbilicus-type	HERB	1	0.13280212
Mitchell_a27	Filicales undiff.	Monolete fern spores	VACR	2	0.26560425
Mitchell_a27	Pteridium	Pteridium	VACR	4	0.5312085
Mitchell_a27	Cyperaceae	Cyperaceae	AQUA	1	0.13280212
Mitchell_a27	Indeterminable: concealed	Indeterminable: concealed	INUN	2	
Mitchell_a27	Indeterminable: deteriorated	Indeterminable: deteriorated	INUN	6	
