samplename	original_varname	acc_varname	groupid	count	percentage
Leroy_i16	Cedrus	Cedrus	TRSH	6	2.2727273
Leroy_i16	Corylus	Corylus	TRSH	1	0.37878788
Leroy_i16	Ephedra	Ephedra	TRSH	1	0.37878788
Leroy_i16	Ericaceae	Ericales (tetrad)	DWAR	4	1.5151515
Leroy_i16	Fraxinus	Fraxinus	TRSH	4	1.5151515
Leroy_i16	Cupressaceae	Juniperus-type	TRSH	1	0.37878788
Leroy_i16	Olea	Olea europaea	TRSH	2	0.75757576
Leroy_i16	Pinaceae	Pinaceae	TRSH	117	44.318182
Leroy_i16	Platanus	Platanus	TRSH	15	5.6818182
Leroy_i16	Quercus evergreen	Quercus ilex-type	TRSH	34	12.878788
Leroy_i16	Quercus deciduous	Quercus robur-type	TRSH	12	4.5454545
Leroy_i16	Salix	Salix	TRSH	3	1.1363636
Leroy_i16	A. tubuliflorae	Asteraceae subf. Asteroideae	HERB	4	1.5151515
Leroy_i16	Asteraceae liguliflorae	Asteraceae subf. Cichorioideae	HERB	1	0.37878788
Leroy_i16	Cerealia	Cerealia-type	HERB	3	1.1363636
Leroy_i16	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	8	3.030303
Leroy_i16	Cyperaceae	Cyperaceae	HERB	13	4.9242424
Leroy_i16	Emex spinosa	Emex spinosa	HERB	2	0.75757576
Leroy_i16	Lamiaceae	Lamiaceae	HERB	1	0.37878788
Leroy_i16	Plantago	Plantago	HERB	1	0.37878788
Leroy_i16	Poaceae	Poaceae	HERB	25	9.469697
Leroy_i16	Ranunculaceae	Ranunculaceae	HERB	3	1.1363636
Leroy_i16	Rubiaceae	Rubiaceae	HERB	2	0.75757576
Leroy_i16	Rumex	Rumex/Oxyria	HERB	1	0.37878788
Leroy_i16	Cladium	Cladium mariscus	HELO	2	0.75757576
Leroy_i16	Potamogeton	Potamogeton-type	AQUA	1	0.37878788
Leroy_i16	Typha-Sparganium	Sparganium-type	AQUA	1	0.37878788
Leroy_i16	Indeterminated	Indeterminable: unknown	INUN	2	
Leroy_i16	Undeterminable	Indeterminable: unknown	INUN	14	
