samplename	original_varname	acc_varname	groupid	count	percentage	notes
Mikishin-Gvozdeva_b74	Abies	Abies	TRSH	6	0.93312597	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Acer	Acer campestre-type	TRSH	1	0.155521	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Alnus	Alnus	TRSH	25	3.8880249	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Betula	Betula	TRSH	84	13.063764	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Betula nana-type	Betula nana-type	DWAR	2	0.31104199	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Carpinus	Carpinus betulus	TRSH	3	0.46656299	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Corylus	Corylus	TRSH	4	0.62208398	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Ephedra	Ephedra	TRSH	2	0.31104199	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Ericales	Ericales (tetrad)	DWAR	1	0.155521	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Picea	Picea	TRSH	7	1.088647	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH	49	7.6205288	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH	117	18.195956	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Quercus	Quercus	TRSH	37	5.7542768	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Rosaceae	Rosaceae	TRSH	3	0.46656299	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Mikishin-Gvozdeva_b74	Salix	Salix	TRSH	3	0.46656299	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Syringa	Syringa	TRSH	2	0.31104199	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Tilia	Tilia	TRSH	3	0.46656299	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Ulmus	Ulmus/Zelkova	TRSH	14	2.1772939	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Apiaceae	Apiaceae	HERB	4	0.62208398	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Artemisia	Artemisia	HERB	69	10.730949	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Asteraceae	Asteraceae	HERB	5	0.77760498	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	2	0.31104199	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	7	1.088647	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Cyperaceae	Cyperaceae	HERB	50	7.7760498	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Fabaceae	Fabaceae	HERB	2	0.31104199	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Balsaminaceae	Impatiens	HERB	1	0.155521	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Poaceae	Poaceae	HERB	24	3.7325039	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Polemoniaceae	Polemoniaceae	HERB	1	0.155521	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Polygonaceae	Polygonaceae	HERB	3	0.46656299	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Sanguisorba	Sanguisorba officinalis	HERB	1	0.155521	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.155521	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Thalictrum	Thalictrum	HERB	3	0.46656299	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Sparganium	Sparganium-type	AQUA	1	0.155521	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Adianthum	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Botrychium	Botrychium	VACR	1	0.155521	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Hymenophyllum	Hymenophyllum	VACR	3	0.46656299	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Lycopodium	Lycopodium	VACR	4	0.62208398	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Polypodiaceae	Monolete fern spores	VACR	94	14.618974	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b74	Osmunda	Osmunda regalis	VACR	5	0.77760498	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b74	Riccia	Riccia	NOPO	1		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b74	Sphagnum	Sphagnum	NOPO	3		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
