samplename	original_varname	acc_varname	groupid	count	percentage
Nakagawa_a9	Alnus	Alnus	TRSH	2	0.45
Nakagawa_a9	Betula	Betula	TRSH	3	0.67
Nakagawa_a9	Celtis-Aphananthe	Cannabaceae	TRSH	3	0.67
Nakagawa_a9	Carpinus	Carpinus betulus	TRSH	14	3.15
Nakagawa_a9	Corylus	Corylus	TRSH	1	0.22
Nakagawa_a9	Cryptomeria	Cryptomeria-type	TRSH	261	58.65
Nakagawa_a9	Castanopsis-Castanea	Fagaceae	TRSH	12	2.7
Nakagawa_a9	Fagus	Fagus	TRSH	2	0.45
Nakagawa_a9	Fraxinus	Fraxinus	TRSH	5	1.12
Nakagawa_a9	Ilex	Ilex	TRSH	1	0.22
Nakagawa_a9	Juglans	Juglans	TRSH	9	2.02
Nakagawa_a9	Pinus-undiff.	Pinus	TRSH	2	0.45
Nakagawa_a9	Pinus-D	Pinus sylvestris-type	TRSH	18	4.04
Nakagawa_a9	Pterocarya	Pterocarya	TRSH	2	0.45
Nakagawa_a9	Quercus-E	Quercus ilex-type	TRSH	9	2.02
Nakagawa_a9	Quercus-D	Quercus robur-type	TRSH	36	8.09
Nakagawa_a9	Salix	Salix	TRSH	2	0.45
Nakagawa_a9	T-C-C type	Taxaceae/Cephalotaxaceae/Cupressaceae	TRSH	3	0.67
Nakagawa_a9	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	13	2.92
Nakagawa_a9	Viburnum	Viburnum	TRSH	3	0.67
Nakagawa_a9	Zanthoxylum	Zanthoxylum	TRSH	16	3.6
Nakagawa_a9	Artemisia	Artemisia	HERB	8	1.8
Nakagawa_a9	Compositae	Asteraceae	HERB	9	2.02
Nakagawa_a9	Tubuliflorae	Asteraceae subf. Asteroideae	HERB	5	1.12
Nakagawa_a9	Liguliflorae	Asteraceae subf. Cichorioideae	HERB	4	0.9
Nakagawa_a9	Gramineae	Poaceae	HERB	2	0.45
Nakagawa_a9	broken	Indeterminable: broken	INUN	24	
Nakagawa_a9	Unknown	Indeterminable: unknown	INUN	35	
