samplename	original_varname	acc_varname	groupid	count	percentage
Tantau_a3	Abies	Abies	TRSH	17	6.77
Tantau_a3	Alnus viridis	Alnus viridis	TRSH	10	3.98
Tantau_a3	Betula	Betula	TRSH	2	0.8
Tantau_a3	Carpinus	Carpinus betulus	TRSH	5	1.99
Tantau_a3	Corylus	Corylus	TRSH	2	0.8
Tantau_a3	Fagus	Fagus	TRSH	8	3.19
Tantau_a3	Fraxinus	Fraxinus	TRSH	1	0.4
Tantau_a3	Juglans	Juglans	TRSH	1	0.4
Tantau_a3	Juniperus	Juniperus communis-type	TRSH	1	0.4
Tantau_a3	Piceaabies	Picea abies-type	TRSH	91	36.25
Tantau_a3	Pinus haploxylon/cembra	Pinus cembra-type	TRSH	1	0.4
Tantau_a3	Pinus diploxylon	Pinus sylvestris-type	TRSH	25	9.96
Tantau_a3	Quercus	Quercus	TRSH	1	0.4
Tantau_a3	Rosaceae	Rosaceae	TRSH	1	0.4
Tantau_a3	Salix	Salix	TRSH	2	0.8
Tantau_a3	Tilia	Tilia	TRSH	1	0.4
Tantau_a3	Apiaceae	Apiaceae	HERB	1	0.4
Tantau_a3	Artemisia	Artemisia	HERB	2	0.8
Tantau_a3	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.4
Tantau_a3	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.8
Tantau_a3	Boraginaceae	Boraginaceae	HERB	1	0.4
Tantau_a3	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.4
Tantau_a3	Cyperaceae	Cyperaceae	HERB	5	1.99
Tantau_a3	Cannabis type	Humulus/Cannabis	HERB	1	0.4
Tantau_a3	Plantago sp.	Plantago	HERB	1	0.4
Tantau_a3	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.4
Tantau_a3	Poaceae	Poaceae	HERB	10	3.98
Tantau_a3	Ranunculaceae	Ranunculaceae	HERB	3	1.2
Tantau_a3	Rubiaceae	Rubiaceae	HERB	1	0.4
Tantau_a3	Rumex	Rumex/Oxyria	HERB	1	0.4
Tantau_a3	Scrofulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	3	1.2
Tantau_a3	Thalictrum	Thalictrum	HERB	1	0.4
Tantau_a3	Urticaceae	Urticaceae	HERB	3	1.2
Tantau_a3	Spores monoletes	Monolete fern spores	VACR	8	3.19
Tantau_a3	Selaginella	Selaginella	VACR	35	13.94
Tantau_a3	Spores triletes	Trilete spore(s)	VACR	1	0.4
Tantau_a3	Indetermines	Indeterminable: unknown	INUN	1	
