samplename	original_varname	acc_varname	groupid	count	percentage	notes
Tantau_a3	Abies	Abies	TRSH	17	6.7729084	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Alnus viridis	Alnus viridis	TRSH	10	3.9840637	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Betula	Betula	TRSH	2	0.79681275	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Carpinus	Carpinus betulus	TRSH	5	1.9920319	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Corylus	Corylus	TRSH	2	0.79681275	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Fagus	Fagus	TRSH	8	3.187251	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Fraxinus	Fraxinus	TRSH	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Juglans	Juglans	TRSH	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Juniperus	Juniperus communis-type	TRSH	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Piceaabies	Picea abies-type	TRSH	91	36.25498	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Pinus haploxylon/cembra	Pinus cembra-type	TRSH	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Pinus diploxylon	Pinus sylvestris-type	TRSH	25	9.9601594	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Quercus	Quercus	TRSH	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Rosaceae	Rosaceae	TRSH	1	0.39840637	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Tantau_a3	Salix	Salix	TRSH	2	0.79681275	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Tilia	Tilia	TRSH	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Apiaceae	Apiaceae	HERB	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Artemisia	Artemisia	HERB	2	0.79681275	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.79681275	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Boraginaceae	Boraginaceae	HERB	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Cyperaceae	Cyperaceae	HERB	5	1.9920319	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Cannabis type	Humulus/Cannabis	HERB	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Plantago sp.	Plantago	HERB	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Poaceae	Poaceae	HERB	10	3.9840637	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Ranunculaceae	Ranunculaceae	HERB	3	1.1952191	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Rubiaceae	Rubiaceae	HERB	1	0.39840637	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Tantau_a3	Rumex	Rumex/Oxyria	HERB	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Scrofulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	3	1.1952191	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Thalictrum	Thalictrum	HERB	1	0.39840637	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Urticaceae	Urticaceae	HERB	3	1.1952191	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Tantau_a3	Indetermines	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Spores monoletes	Monolete fern spores	VACR	8	3.187251	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tantau_a3	Selaginella	Selaginella	VACR	35	13.944223	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tantau_a3	Spores triletes	Trilete spore(s)	VACR	1	0.39840637	GroupID taken from POLNET. Only one taxon matched that acc_varname.
