samplename	original_varname	acc_varname	groupid	count	percentage
Montanari_b2	ABIES	Abies	TRSH	6	0.42
Montanari_b2	ACER	Acer campestre-type	TRSH	2	0.14
Montanari_b2	AILANTHUS	Ailanthus	TRSH	3	0.21
Montanari_b2	ALNUS	Alnus	TRSH	114	8.02
Montanari_b2	BETULA	Betula	TRSH	4	0.28
Montanari_b2	CALLUNA	Calluna vulgaris	TRSH	1	0.07
Montanari_b2	CARPINUS	Carpinus betulus	TRSH	5	0.35
Montanari_b2	CASTANEA	Castanea sativa	TRSH	120	8.44
Montanari_b2	CEDRUS	Cedrus	TRSH	8	0.56
Montanari_b2	CELTIS	Celtis	TRSH	2	0.14
Montanari_b2	CORYLUS	Corylus	TRSH	51	3.59
Montanari_b2	ERICA indiff.	Erica	TRSH	4	0.28
Montanari_b2	ERICACEAE indiff.	Ericales (tetrad)	DWAR	8	0.56
Montanari_b2	FAGUS	Fagus	TRSH	26	1.83
Montanari_b2	FRAXINUS	Fraxinus	TRSH	109	7.67
Montanari_b2	ILEX aquifolium	Ilex	TRSH	1	0.07
Montanari_b2	JUGLANS	Juglans	TRSH	8	0.56
Montanari_b2	JUNIPERUS	Juniperus-type	TRSH	12	0.84
Montanari_b2	CUPRESSUS	Juniperus-type	TRSH	26	1.83
Montanari_b2	LIGUSTRUM	Ligustrum	TRSH	1	0.07
Montanari_b2	OSTRYA	Ostrya/Carpinus orientalis	TRSH	102	7.17
Montanari_b2	PICEA	Picea	TRSH	12	0.84
Montanari_b2	PINUS indiff.	Pinus	TRSH	161	11.32
Montanari_b2	PINUS t.sylvestris	Pinus sylvestris-type	TRSH	76	5.34
Montanari_b2	t.PLATANUS	Platanus	TRSH	1	0.07
Montanari_b2	QUERCUS t.ilex	Quercus ilex-type	TRSH	3	0.21
Montanari_b2	QUERCUS decid.	Quercus robur-type	TRSH	80	5.63
Montanari_b2	ROSACEAE	Rosaceae	TRSH	24	1.69
Montanari_b2	SALIX	Salix	TRSH	1	0.07
Montanari_b2	TILIA	Tilia	TRSH	19	1.34
Montanari_b2	TSUGA	Tsuga	TRSH	2	0.14
Montanari_b2	ULMUS	Ulmus/Zelkova	TRSH	3	0.21
Montanari_b2	UMBELLIFERAE	Apiaceae	HERB	17	1.2
Montanari_b2	ARTEMISIA	Artemisia	HERB	1	0.07
Montanari_b2	ASTERACEAE tub.	Asteraceae subf. Asteroideae	HERB	3	0.21
Montanari_b2	ASTERACEAE lig.	Asteraceae subf. Cichorioideae	HERB	2	0.14
Montanari_b2	CRUCIFERAE	Brassicaceae	HERB	1	0.07
Montanari_b2	CARYOPHYLLACEAE	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.07
Montanari_b2	CHENOPODIACEAE	Chenopodiaceae/Amaranthaceae	HERB	4	0.28
Montanari_b2	CYPERACEAE	Cyperaceae	HERB	1	0.07
Montanari_b2	GERANIUM	Geranium	HERB	1	0.07
Montanari_b2	t.HELIANTHEMUM	Helianthemum	HERB	2	0.14
Montanari_b2	PLANTAGO	Plantago	HERB	17	1.2
Montanari_b2	POACEAE	Poaceae	HERB	142	9.99
Montanari_b2	GALIUM	Rubiaceae	HERB	8	0.56
Montanari_b2	RUMEX	Rumex/Oxyria	HERB	2	0.14
Montanari_b2	SCROPHULARIACEAE	Scrophulariaceae (colporate-reticulate)	HERB	1	0.07
Montanari_b2	FILICALES	Monolete fern spores	VACR	224	15.75
Montanari_b2	unidentified	Indeterminable: unknown	INUN	7	
Montanari_b2	examined volume (Vg)	Sample volume (ml)	NOPO	0.02	
Montanari_b2	sample volume (Vp)	Sample volume (ml)	NOPO	5	
Montanari_b2	concentration (F.P.A., grains/gram)	Total concentration	NOPO	149520.78	
Montanari_b2	sample weight (Pp)	Weight (g)	NOPO	2.3893	
