samplename	original_varname	acc_varname	groupid	count	percentage
Ortu_b18	Alnus viridis	Alnus viridis	TRSH	18	4.96
Ortu_b18	Betula	Betula	TRSH	2	0.55
Ortu_b18	Castanea	Castanea sativa	TRSH	5	1.38
Ortu_b18	Juniperus	Juniperus communis-type	TRSH	3	0.83
Ortu_b18	Larix	Larix/Pseudotsuga	TRSH	1	0.28
Ortu_b18	Picea	Picea	TRSH	15	4.13
Ortu_b18	Pinus	Pinus	TRSH	36	9.92
Ortu_b18	Quercus robur-type	Quercus robur-type	TRSH	2	0.55
Ortu_b18	Rosaceae	Rosaceae	TRSH	5	1.38
Ortu_b18	Apiaceae	Apiaceae	HERB	2	0.55
Ortu_b18	Artemisia	Artemisia	HERB	3	0.83
Ortu_b18	Asteroideae	Asteraceae subf. Asteroideae	HERB	4	1.1
Ortu_b18	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	25	6.89
Ortu_b18	Campanulaceae	Campanulaceae	HERB	1	0.28
Ortu_b18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.55
Ortu_b18	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.28
Ortu_b18	Crassulaceae	Crassulaceae	HERB	3	0.83
Ortu_b18	Lamiaceae	Lamiaceae	HERB	1	0.28
Ortu_b18	Poaceae	Poaceae	HERB	150	41.32
Ortu_b18	Ranunculaceae	Ranunculaceae	HERB	66	18.18
Ortu_b18	Rumex	Rumex/Oxyria	HERB	5	1.38
Ortu_b18	Saxifraga	Saxifraga	HERB	1	0.28
Ortu_b18	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.28
Ortu_b18	Monolete fern spores	Monolete fern spores	VACR	4	1.1
Ortu_b18	Trilete spores	Trilete spore(s)	VACR	7	1.93
Ortu_b18	Cyperaceae	Cyperaceae	AQUA	21	5.79
Ortu_b18	Fabaceae	Fabaceae	INUN	10	
Ortu_b18	Indeterminable: unknown	Indeterminable: unknown	INUN	1	
