samplename	original_varname	acc_varname	groupid	count	percentage
Naughton_a4	Acer	Acer campestre-type	TRSH	1	0.42
Naughton_a4	Alnus	Alnus	TRSH	4	1.68
Naughton_a4	Calluna	Calluna vulgaris	DWAR	5	2.1
Naughton_a4	Castanea	Castanea sativa	TRSH	1	0.42
Naughton_a4	Corylus	Corylus	TRSH	2	0.84
Naughton_a4	Cupressaceae	Cupressaceae undiff.	TRSH	1	0.42
Naughton_a4	Ericaceae	Ericales (tetrad)	DWAR	41	17.23
Naughton_a4	Eucalyptus	Eucalyptus	TRSH	1	0.42
Naughton_a4	Olea	Olea europaea	TRSH	3	1.26
Naughton_a4	Pinus	Pinus	TRSH	133	55.88
Naughton_a4	Quercus deciduous	Quercus robur-type	TRSH	6	2.52
Naughton_a4	Asphodelus	Asphodelus	HERB	1	0.42
Naughton_a4	Cerealia-type	Cerealia-type	HERB	2	0.84
Naughton_a4	Taraxacum-type	Crepis-type	HERB	9	3.78
Naughton_a4	Helianthemum	Helianthemum	HERB	3	1.26
Naughton_a4	Anthemis-type	Matricaria-type	HERB	1	0.42
Naughton_a4	Plantago	Plantago	HERB	1	0.42
Naughton_a4	Poaceae	Poaceae	HERB	15	6.3
Naughton_a4	Rumex-type	Rumex/Oxyria	HERB	1	0.42
Naughton_a4	Monolete fern spores (psilate)	Monolete fern spores	VACR	5	2.1
Naughton_a4	Trilete spores (psilate)	Trilete spore(s)	VACR	2	0.84
Naughton_a4	Cyperaceae	Cyperaceae	AQUA	4	1.68
Naughton_a4	Indeterminable: broken	Indeterminable: broken	INUN	14	
Naughton_a4	Indeterminable: concealed	Indeterminable: concealed	INUN	7	
Naughton_a4	Indeterminable: corroded	Indeterminable: corroded	INUN	30	
Naughton_a4	Indeterminable: crumpled	Indeterminable: crumpled	INUN	8	
Naughton_a4	Counted exote	Counted exote	NOPO	211	
Naughton_a4	Lycopodium (added)	Lycopodium (added)	NOPO	21358	
Naughton_a4	Sample volume	Sample volume	NOPO	1	
