samplename	original_varname	acc_varname	groupid	count	percentage
Sadori_g2	Acer	Acer campestre-type	TRSH	1	0.14
Sadori_g2	Alnus	Alnus	TRSH	5	0.68
Sadori_g2	Carpinus betulus	Carpinus betulus	TRSH	43	5.87
Sadori_g2	Castanea	Castanea sativa	TRSH	9	1.23
Sadori_g2	Corylus	Corylus	TRSH	46	6.28
Sadori_g2	Ericaceae	Ericales (tetrad)	DWAR	10	1.36
Sadori_g2	Fagus	Fagus	TRSH	436	59.48
Sadori_g2	Fraxinus	Fraxinus	TRSH	3	0.41
Sadori_g2	Myrtaceae	Myrtaceae	TRSH	1	0.14
Sadori_g2	Olea	Olea europaea	TRSH	11	1.5
Sadori_g2	Ostrya	Ostrya/Carpinus orientalis	TRSH	21	2.86
Sadori_g2	Picea	Picea	TRSH	4	0.55
Sadori_g2	Pinus	Pinus	TRSH	27	3.68
Sadori_g2	Quercus ilex-type	Quercus ilex-type	TRSH	10	1.36
Sadori_g2	Quercus deciduous	Quercus robur-type	TRSH	14	1.91
Sadori_g2	Vitis	Vitis	LIAN	2	0.27
Sadori_g2	Umbelliferae	Apiaceae	HERB	4	0.55
Sadori_g2	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.14
Sadori_g2	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.27
Sadori_g2	Cruciferae	Brassicaceae	HERB	26	3.55
Sadori_g2	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	10	1.36
Sadori_g2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.14
Sadori_g2	Labiatae	Lamiaceae	HERB	1	0.14
Sadori_g2	Plantago	Plantago	HERB	3	0.41
Sadori_g2	Gramineae	Poaceae	HERB	38	5.18
Sadori_g2	Ranunculaceae	Ranunculaceae	HERB	1	0.14
Sadori_g2	Rubiaceae	Rubiaceae	HERB	2	0.27
Sadori_g2	Rumex	Rumex/Oxyria	HERB	1	0.14
Sadori_g2	Lycopodium (added)	Lycopodium (added)	NOPO	13500	
Sadori_g2	Lycopodium (counted)	Lycopodium (counted)	NOPO	2	
