samplename	original_varname	acc_varname	groupid	count	percentage
Klemm_a101	Alnus viridis subsp. fruticosa-type	Alnus viridis	TRSH	220	38.12825
Klemm_a101	Betula nana-type	Betula nana-type	DWAR	114	19.757366
Klemm_a101	Betula pubescens-type	Betula pubescens-type	TRSH	2	0.34662045
Klemm_a101	Ericaceae undifferentiated	Ericales (tetrad)	DWAR	9	1.559792
Klemm_a101	Larix	Larix/Pseudotsuga	TRSH	3	0.51993068
Klemm_a101	Picea	Picea	TRSH	1	0.17331023
Klemm_a101	Pinus undifferentiated	Pinus	TRSH	4	0.6932409
Klemm_a101	Pinus subgen. Haploxylon	Pinus cembra-type	TRSH	6	1.0398614
Klemm_a101	Rosaceae	Rosaceae	TRSH	2	0.34662045
Klemm_a101	Salix	Salix	TRSH	24	4.1594454
Klemm_a101	Artemisia	Artemisia	HERB	2	0.34662045
Klemm_a101	Asteraceae	Asteraceae	HERB	1	0.17331023
Klemm_a101	Cyperaceae	Cyperaceae	HERB	124	21.490468
Klemm_a101	Poaceae	Poaceae	HERB	60	10.398614
Klemm_a101	Rhinanthus-group	Rhinanthus-type/Veronica-type	HERB	2	0.34662045
Klemm_a101	Saxifraga	Saxifraga	HERB	3	0.51993068
Klemm_a101	Pollen indeterminata	Indeterminable: unknown	INUN	5	
Klemm_a101	Pollen total	Indeterminable: unknown	INUN	582	
