samplename	original_varname	acc_varname	groupid	count	percentage
Tinner_a22	Betula	Betula	TRSH	17	2.23
Tinner_a22	Fraxinus sogdiana	Fraxinus sogdiana	TRSH	1	0.13
Tinner_a22	Hippophae rhamnoides	Hippophae rhamnoides	TRSH	3	0.39
Tinner_a22	Juniperus t.	Juniperus-type	TRSH	6	0.79
Tinner_a22	Lonicera t.	Lonicera	TRSH	1	0.13
Tinner_a22	Picea schrenkiana	Picea schrenkiana	TRSH	520	68.24
Tinner_a22	Pinus	Pinus	TRSH	2	0.26
Tinner_a22	Prunus t.	Prunus-type	TRSH	5	0.66
Tinner_a22	Rosa t.	Rosa	TRSH	1	0.13
Tinner_a22	Sorbus/Rubus t.	Rosaceae (non-operculate)	TRSH	2	0.26
Tinner_a22	Salix	Salix	TRSH	3	0.39
Tinner_a22	Ulmus	Ulmus/Zelkova	TRSH	2	0.26
Tinner_a22	Apiaceae indet.	Apiaceae	HERB	3	0.39
Tinner_a22	Artemisia	Artemisia	HERB	97	12.73
Tinner_a22	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	3	0.39
Tinner_a22	Brassicaceae Hornungia & Sinapis t.	Brassicaceae	HERB	5	0.66
Tinner_a22	Carduus t.	Carduus-type	HERB	1	0.13
Tinner_a22	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.26
Tinner_a22	Cerealia	Cerealia-type	HERB	6	0.79
Tinner_a22	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	14	1.84
Tinner_a22	Cirsium t.	Cirsium	HERB	3	0.39
Tinner_a22	Cyperaceae	Cyperaceae	HERB	5	0.66
Tinner_a22	Euphorbia	Euphorbia	HERB	2	0.26
Tinner_a22	Filipendula	Filipendula	HERB	1	0.13
Tinner_a22	Galeopsis t.	Galeopsis-type	HERB	1	0.13
Tinner_a22	Gentiana pneumonanthe t.	Gentiana pneumonanthe-type	HERB	1	0.13
Tinner_a22	Geranium t.	Geranium	HERB	1	0.13
Tinner_a22	Lamiaceae indet.	Lamiaceae	HERB	2	0.26
Tinner_a22	Linum t.	Linum	HERB	1	0.13
Tinner_a22	Plantago lanceolata t.	Plantago lanceolata-type	HERB	1	0.13
Tinner_a22	Poaceae	Poaceae	HERB	24	3.15
Tinner_a22	Polygonum aviculare t.	Polygonum aviculare-type	HERB	1	0.13
Tinner_a22	Potentilla t.	Potentilla-type	HERB	2	0.26
Tinner_a22	Ranunculus acris t.	Ranunculus acris-type	HERB	3	0.39
Tinner_a22	Rhinanthus t.	Rhinanthus-type	HERB	1	0.13
Tinner_a22	Rumex obtusifolius t.	Rumex crispus-type	HERB	1	0.13
Tinner_a22	Scrophulariaceae indet.	Scrophulariaceae (colporate-reticulate)	HERB	2	0.26
Tinner_a22	Senecio t.	Senecio-type	HERB	1	0.13
Tinner_a22	Sium t.	Sium-type	HERB	2	0.26
Tinner_a22	Thalictrum	Thalictrum	HERB	2	0.26
Tinner_a22	Thalictrum type N	Thalictrum	HERB	6	0.79
Tinner_a22	Trifolium t.	Trifolium-type	HERB	2	0.26
Tinner_a22	Urtica dioica t.	Urtica dioica-type	HERB	1	0.13
Tinner_a22	Valeriana officinalis t.	Valeriana officinalis-type	HERB	1	0.13
Tinner_a22	Xanthium t.	Xanthium	HERB	1	0.13
Tinner_a22	Ranunculus aquatilis t.	Ranunculus aquatilis-type	AQUA	2	0.26
Tinner_a22	Varia	Indeterminable: unknown	INUN	1	
Tinner_a22	Picea Stomata	Picea: stomata	VEMI	21	
