samplename	original_varname	acc_varname	groupid	count	percentage
Meltsov_a4	Alnus	Alnus	TRSH	196	11.914894
Meltsov_a4	Betula	Betula	TRSH	629	38.237082
Meltsov_a4	Calluna	Calluna vulgaris	DWAR	11	0.66869301
Meltsov_a4	Corylus	Corylus	TRSH	14	0.85106383
Meltsov_a4	Fraxinus	Fraxinus	TRSH	7	0.42553191
Meltsov_a4	Picea	Picea	TRSH	108	6.5653495
Meltsov_a4	Pinus	Pinus	TRSH	485	29.483283
Meltsov_a4	Quercus	Quercus	TRSH	27	1.6413374
Meltsov_a4	Rosaceae	Rosaceae	TRSH	1	0.060790274
Meltsov_a4	Salix	Salix	TRSH	10	0.60790274
Meltsov_a4	Tilia	Tilia	TRSH	13	0.79027356
Meltsov_a4	Ulmus	Ulmus/Zelkova	TRSH	13	0.79027356
Meltsov_a4	Vaccinium	Vaccinium	DWAR	8	0.48632219
Meltsov_a4	Ambrosia	Ambrosia	HERB	1	0.060790274
Meltsov_a4	Apiaceae	Apiaceae	HERB	1	0.060790274
Meltsov_a4	Artemisia	Artemisia	HERB	14	0.85106383
Meltsov_a4	Taraxacum	Asteraceae subf. Cichorioideae	HERB	1	0.060790274
Meltsov_a4	Cannabis	Cannabis sativa	HERB	1	0.060790274
Meltsov_a4	Secale	Cerealia-type	HERB	22	1.337386
Meltsov_a4	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	0.18237082
Meltsov_a4	Filipendula	Filipendula	HERB	4	0.24316109
Meltsov_a4	Mercurialis perennis	Mercurialis perennis-type	HERB	1	0.060790274
Meltsov_a4	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.060790274
Meltsov_a4	Plantago major/P. media	Plantago major/P. media-type	HERB	3	0.18237082
Meltsov_a4	Poaceae	Poaceae	HERB	45	2.7355623
Meltsov_a4	Ranunculus acris	Ranunculus acris-type	HERB	1	0.060790274
Meltsov_a4	Galium	Rubiaceae	HERB	1	0.060790274
Meltsov_a4	Rumex	Rumex/Oxyria	HERB	22	1.337386
Meltsov_a4	Athyrium	Athyrium filix-femina	VACR	2	0.12158055
Meltsov_a4	Cyperaceae	Cyperaceae	AQUA	1	0.060790274
Meltsov_a4	Typha latifolia	Typha latifolia	AQUA	1	0.060790274
Meltsov_a4	Indeterminable: unknown	Indeterminable: unknown	INUN	11	
Meltsov_a4	Lycopodium (count)	Lycopodium (counted)	NOPO	150	
